Message;Possible Answers;Reactions;Initiation time (dd:hh:mm:ss);Reaction Time (dd:hh:mm:ss);ReplyEvents;ElementEvents;DialogueEvents
You think so?;Yes, you should stay careful, but go there;;;;;;
;On second thought, maybe you'd better get back home first;;;;<BRANCH>Ending-5b;;
;;;;;;;
Okay.;;;;;;;
;;;;;;;
I'll do just that.;;;;;;;
;;;;;;;
I have to know what they want from me.;;;00:00:15:00;;;;
;;;;;;;
Fuckkkk;??;;;;;;
;;;;;;;
I was walking down the street;;;;;;;
;;;;;;;
And a garage door just opened right in front of me. And there's no one in there;;;;;;;
;;;;;;;
What do you think I should do?? Should I investigate?;You should check it out.;;;;;;
;You're getting paranoid, you should keep on your way;;;;<BRANCH>Ending-6;;
;;;;;;;
I hope you're actually trying to help me.;What do you mean?;;;;;;
;;;;;;;
I'm counting on you to help me, I'm completely lost right now;;;;;;;
;;;;;;;
So I really hope you're not just trying to satisfy your curiosity.;;;;;;;
;;;;;;;
By telling me to do dangerous things, I mean.;No, I swear I really want to help you.;Okay, I'm going in then.;;;;;
;I just want to know what's going to happen actually <sprite index=0>;;;;<BRANCH>Ending-5a1;;
;;;;;;;
Je me suis juste fait des idées finalement, y'avait personne.;;;00:00:10:00;;;;
;;;;;;;
Je continue ma route, cette fois je ne m'arrête plus.;;;;;;<BRANCH>Ending-6;
