Message;Possible Answers;Reactions;Initiation time (dd:hh:mm:ss);Reaction Time (dd:hh:mm:ss);ReplyEvents;ElementEvents;DialogueEvents
Fuuuuck;;;00:00:42:00;;;<SET>wentBackHome 1;
;;;;;;;
What in the FUCKING HELL;;;;;;;
;;;;;;;
WHAT THE FUCK;What happened?;;;;;;
;;;;;;;
I was getting back home;;;;;;;
;;;;;;;
I thought no one was there, at first;;;;;;;
;;;;;;;
But;;;;;;;
;;;;;;;
Not only was there one person;;;;;;;
;;;;;;;
But multiple people showed up.;;;;;;;
;;;;;;;
I ran away and then, fuck...;And then??;;;;;;
;;;;;;;
And then I heard a gunshot!;Were they aiming at you??;No, I'm positive they didn't see me.;;;;;
;Are you SURE it was a gunshot??;Yes!;;;;;
;;;;;;;
And then I heard the sound of a body falling down.;;;;;;;
;;;;;;;
I still hear it in my head;;;;;;;
;;;;;;;
It was a thumping noise.;What are you going to do now?;I have no idea...;;;;;
;Are you in a safe area right now?;Yes, I ran as far as possible.;;;;;
;;;;;;;
What should I do?;Go to the coordinates that have been sent to you.;I'm really scared of what might be waiting for me here...;;;;;
;Spend the night at a hotel, or at a relative's;;;;<BRANCH>Ending-5c1;;
;;;;;;;
But I'm ready.;;;;;;;
;;;;;;;
I'll go.;;;;;;<BRANCH>Ending-6;
