Message;Possible Answers;Reactions;Initiation time (dd:hh:mm:ss);Reaction Time (dd:hh:mm:ss);ReplyEvents;ElementEvents;DialogueEvents
What the fuck?;;;;;;;
;;;;;;;
Do you really think I want to??;;;;;;;
;;;;;;;
You know what?;;;;;;;
;;;;;;;
I'll do it, since you're so eager to know everything!;;;;;;;
;;;;;;;
Fuck, I threw up;;;00:00:04:00;;;;
;;;;;;;
I can't stand it anymore, I just want to cry...;;;;;;;
;;;;;;;
I should never have trusted a stranger like you;;;;;;<GAMEOVER>'The user has left the conversation.';
