Message;Possible Answers;Reactions;Initiation time (dd:hh:mm:ss);Reaction Time (dd:hh:mm:ss);ReplyEvents;ElementEvents;DialogueEvents
Tu penses?;Oui, fais attention, mais vas-y;;;;;<CHECKPOINT>;
;Quoique, tu devrais plutôt d'abord retourner chez toi.;;;;<BRANCH>Ending-5b;;
;;;;;;;
Ouais;;;;;;;
;;;;;;;
Je vais faire ça;;;;;;;
;;;;;;;
J'ai besoin de savoir ce qu'ils veulent de moi.;;;00:00:15:00;;;;
;;;;;;;
Ptnnn;??;;;;;;
;;;;;;;
Je marchais dans la rue;;;;;;;
;;;;;;;
Et la porte d'un garage s'est ouverte devant moi, et il y'a personne;;;;;;;
;;;;;;;
Je fais quoi, j'y vais???;Tu devrais aller voir.;;;;;;
;Tu te fais sûrement des idées, tu devrais continuer ta route.;;;;<BRANCH>Ending-6;;
;;;;;;;
J'espère que tu essayes vraiment de m'aider;Comment ça?;;;;;;
;;;;;;;
Je me repose sur toi parce que je suis totalement perdue;;;;;;;
;;;;;;;
Alors j'espère que tu ne veux pas juste satisfaire ta curiosité;;;;;;;
;;;;;;;
En me demandant de faire des choses dangereuses;Non, je veux vraiment t'aider.;Bien, je rentre dans le garage alors.;;;;;
;Ah si si, je suis juste curieux de voir ce qui va se passer <sprite index=0>;;;;<BRANCH>Ending-5a1;;
;;;;;;;
Je me suis juste fait des idées finalement, y'avait personne.;;;00:00:10:00;;;;
;;;;;;;
Je continue ma route, cette fois je ne m'arrête plus.;;;;;;<BRANCH>Ending-6;
