Message;Possible Answers;Reactions;Initiation time (dd:hh:mm:ss);Reaction Time (dd:hh:mm:ss);ReplyEvents;ElementEvents;DialogueEvents
Mais putain;;;;;;;
;;;;;;;
Tu crois que j'en ai envie???;;;;;;;
;;;;;;;
Tu sais quoi;;;;;;;
;;;;;;;
Je vais le faire puisque t'as l'air de tenir au fait de tout savoir!;;;;;;;
;;;;;;;
Putain j'ai dégueulé;;;00:00:04:00;;;;
;;;;;;;
J'en peux plus, j'ai envie de pleurer;;;;;;;
;;;;;;;
J'aurais jamais du me reposer sur un inconnu comme toi;;;;;;<GAMEOVER>'La communication a été coupée';
