Message;Possible Answers;Reactions;Initiation time (dd:hh:mm:ss);Reaction Time (dd:hh:mm:ss);ReplyEvents;ElementEvents;DialogueEvents
Je sais vraiment pas qui c'était.;;;00:00:30:00;;;;
;;;;;;;
J'ai laissé ma maison derrière;;;;;;;
;;;;;;;
Je sais pas ce qu'il compte faire...;Tout va bien?;Je sais pas;;;;;
;Essaye de rester calme;J'eesaye putain, mais je sais pas quoi faire!;;;;;
;;;;;;;
Je suis dehors;;;;;;;
;;;;;;;
Je sais pas si je devrais retourner chez moi;Retournes-y;;;;;;
;Attends un peu.;;;;;;
;;;;;;;
Putain attends;;;00:00:05:00;;;;
;;;;;;;
J'ai reçu des coordonnées.;;;;;;;
;;;;;;;
C'est quoi ce bordel.;Les coordonnées de quel lieu??;;;;;<BRANCH>Ending-4;
;Des coordonnées... Géographiques?;;;;<BRANCH>Ending-3a;;
