Message;Possible Answers;Reactions;Initiation time (dd:hh:mm:ss);Reaction Time (dd:hh:mm:ss);ReplyEvents;ElementEvents;DialogueEvents
Putaiiiin;;;00:00:42:00;;;<SET>wentBackHome 1;
;;;;;;;
C'est quoi ce PUTAIN;;;;;;;
;;;;;;;
DE BORDEL;Il s'est passé quoi???;;;;;;
;;;;;;;
Je me suis approché de chez moi.;;;;;;;
;;;;;;;
J'ai d'abord cru qu'il y avait plus personnes;;;;;;;
;;;;;;;
Mais;;;;;;;
;;;;;;;
Non seulement y'avait quelqu'un;;;;;;;
;;;;;;;
Mais en plus ils étaient plusieurs;;;;;;;
;;;;;;;
Je suis partie et ensuite putain;Et ensuite??;;;;;;
;;;;;;;
Et ensuite j'ai entendu un coup de feu!;Ils t'ont visé??;Non, je suis sûre qu'ils ne m'ont pas vu;;;;;
;T'es sûr que c'était un coup de feu??;Oui!;;;;;
;;;;;;;
J'ai entendu le bruit d'un corps qui tombe au sol;;;;;;;
;;;;;;;
Ca résonne dans ma tête;;;;;;;
;;;;;;;
C'était un bruit sourd.;Tu vas faire quoi maintenant?;Je sais pas...;;;;;
;Tu es en sécurité la?;Oui, je me suis éloignée le plus possible.;;;;;
;;;;;;;
Je devrais faire quoi?;Va aux coordonnées qu'on t'a envoyé;J'ai peur de ce que je peux y trouver maintenant.;;;;;
;Passe la nuit dans un hôtel ou chez un proche.;;;;<BRANCH>Ending-5c1;;
;;;;;;;
Mais c'est d'accord.;;;;;;;
;;;;;;;
J'irais.;;;;;;<BRANCH>Ending-6;
