Message;Possible Answers;Reactions;Initiation time (dd:hh:mm:ss);Reaction Time (dd:hh:mm:ss);ReplyEvents;ElementEvents;DialogueEvents
Malheureusement, ça n'a pas pris.;Merde!;;00:02:00:00;;;;
;Sérieusement?;;;;;;
;;;;;;;
Je vais être honnête avec toi.;;;;;;;
;;;;;;;
Je pense qu'on a tous des choses à cacher. Je ne pense pas qu'il existe un humain qui soit sans secret.;Et donc?;;;;;;
;;;;;;;
J'aurais aimé te dire : ''C'est pas grave, notre victime ne cachait juste rien''. Mais je n'y aurais pas cru moi-même.;;;;;;;
;;;;;;;
Je pense que tu t'es planté.;J'ai fait de mon mieux!;;;;;;
;Et donc? Tu comptes me laisser tranquille du coup?;;;;;;
;;;;;;;
Malheureusement pour toi, je ne compte pas te laisser pour autant. Je pense que tu es toujours apte à m'aider, ok ?;Zut.;;;;;;
;Super nouvelle...;;;;;;
;;;;;;;
Si tu es d'accord;;;;;;;
;;;;;;;
Pardon. Peu importe que tu sois d'accord ou non, on va passer à l'étape suivante. Une étape un peu plus sérieuse.;;;;;;;
;;;;;;;
On se retrouve dans quelques heures.;;;;;;<BRANCH>PreMj2-1;
